column_number,row_letter,concentration,well,plate,mouse_id,name
9,7,1.0248924560175583,7.09.0,MAA000154,30_2_M,7.09.0-MAA000154-30_2_M-1
9,8,0.27713106596021403,8.09.0,MAA000154,30_2_M,8.09.0-MAA000154-30_2_M-1
9,9,0.945406540776026,9.09.0,MAA000154,30_2_M,9.09.0-MAA000154-30_2_M-1
9,10,0.4142171680703073,10.09.0,MAA000154,30_2_M,10.09.0-MAA000154-30_2_M-1
9,11,2.028751888072596,11.09.0,MAA000154,30_2_M,11.09.0-MAA000154-30_2_M-1
9,12,1.6460952681584158,12.09.0,MAA000154,30_2_M,12.09.0-MAA000154-30_2_M-1
9,13,1.4731596473536093,13.09.0,MAA000154,30_2_M,13.09.0-MAA000154-30_2_M-1
9,14,0.47573888160544686,14.09.0,MAA000154,30_2_M,14.09.0-MAA000154-30_2_M-1
9,15,1.4324288379224417,15.09.0,MAA000154,30_2_M,15.09.0-MAA000154-30_2_M-1
10,0,2.5637480460367885,0.010.0,MAA000154,30_2_M,0.010.0-MAA000154-30_2_M-1
10,1,0.39788086009140017,1.010.0,MAA000154,30_2_M,1.010.0-MAA000154-30_2_M-1
10,2,0.3428862593652167,2.010.0,MAA000154,30_2_M,2.010.0-MAA000154-30_2_M-1
10,3,2.828442131858326,3.010.0,MAA000154,30_2_M,3.010.0-MAA000154-30_2_M-1
10,4,0.8412297087779631,4.010.0,MAA000154,30_2_M,4.010.0-MAA000154-30_2_M-1
10,5,0.8074299975301202,5.010.0,MAA000154,30_2_M,5.010.0-MAA000154-30_2_M-1
10,6,0.8392420529271493,6.010.0,MAA000154,30_2_M,6.010.0-MAA000154-30_2_M-1
10,7,1.882993247866589,7.010.0,MAA000154,30_2_M,7.010.0-MAA000154-30_2_M-1
10,8,2.8678259249672644,8.010.0,MAA000154,30_2_M,8.010.0-MAA000154-30_2_M-1
10,9,0.29705065249639095,9.010.0,MAA000154,30_2_M,9.010.0-MAA000154-30_2_M-1
